TIGR00001;rpmI_bact: ribosomal protein L35
TIGR03500;FliO_TIGR: flagellar biosynthetic protein FliO
TIGR03501;GlyGly_CTERM: GlyGly-CTERM domain
TIGR03502;lipase_Pla1_cef: extracellular lipase, Pla-1/cef family
TIGR03503;TIGR03503: TIGR03503 family protein
TIGR03504;FimV_Cterm: FimV C-terminal domain
TIGR03505;FimV_core: FimV N-terminal domain
TIGR03506;FlgEFG_subfam: flagellar hook-basal body protein
TIGR03507;decahem_SO1788: decaheme c-type cytochrome, OmcA/MtrC family
TIGR03508;decahem_SO: decaheme c-type cytochrome, DmsE family
TIGR03509;OMP_MtrB_PioB: decaheme-associated outer membrane protein, MtrB/PioB family
TIGR03510;XapX: XapX domain
TIGR03511;GldH_lipo: gliding motility-associated lipoprotein GldH
TIGR03512;GldD_lipo: gliding motility-associated lipoprotein GldD
TIGR03513;GldL_gliding: gliding motility-associated protein GldL
TIGR03514;GldB_lipo: gliding motility-associated lipoprotein GldB
TIGR03515;GldC: gliding motility-associated protein GldC
TIGR03516;ppisom_GldI: peptidyl-prolyl isomerase, gliding motility-associated
TIGR03517;GldM_gliding: gliding motility-associated protein GldM
TIGR03518;ABC_perm_GldF: gliding motility-associated ABC transporter permease protein GldF
TIGR03519;Bac_Flav_fam_1: Bacteroidetes-specific putative membrane protein
TIGR03520;GldE: gliding motility-associated protein GldE
TIGR03521;GldG: gliding-associated putative ABC transporter substrate-binding component GldG
TIGR03522;GldA_ABC_ATP: gliding motility-associated ABC transporter ATP-binding subunit GldA
TIGR03523;GldN: gliding motility associated protein GldN
TIGR03524;GldJ: gliding motility-associated lipoprotein GldJ
TIGR03525;GldK: gliding motility-associated lipoprotein GldK
TIGR03526;selenium_YgeY: putative selenium metabolism hydrolase
TIGR03527;selenium_YedF: selenium metabolism protein YedF
TIGR03528;2_3_DAP_am_ly: diaminopropionate ammonia-lyase
TIGR03529;GldK_short: gliding motility-associated lipoprotein GldK
TIGR03530;GldJ_short: gliding motility-associated lipoprotein GldJ
TIGR03531;selenium_SpcS: O-phosphoseryl-tRNA(Sec) selenium transferase
TIGR03532;DapD_Ac: 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
TIGR03533;L3_gln_methyl: protein-(glutamine-N5) methyltransferase, ribosomal protein L3-specific
TIGR03534;RF_mod_PrmC: protein-(glutamine-N5) methyltransferase, release factor-specific
TIGR03535;DapD_actino: 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
TIGR03536;DapD_gpp: 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
TIGR03537;DapC: succinyldiaminopimelate transaminase
TIGR03538;DapC_gpp: succinyldiaminopimelate transaminase
TIGR03539;DapC_actino: succinyldiaminopimelate transaminase
TIGR03540;DapC_direct: LL-diaminopimelate aminotransferase
TIGR03541;reg_near_HchA: LuxR family transcriptional regulatory, chaperone HchA-associated
TIGR03542;DAPAT_plant: LL-diaminopimelate aminotransferase
TIGR03543;divI1A_rptt_fam: DivIVA domain repeat protein
TIGR03544;DivI1A_domain: DivIVA domain
TIGR03545;TIGR03545: TIGR03545 family protein
TIGR03546;TIGR03546: TIGR03546 family protein
TIGR03547;muta_rot_YjhT: mutatrotase, YjhT family
TIGR03548;mutarot_permut: cyclically-permuted mutarotase family protein
TIGR03549;TIGR03549: YcaO domain protein
TIGR03550;F420_cofG: 7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase, CofG subunit
TIGR03551;F420_cofH: 7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase, CofH subunit
TIGR03552;F420_cofC: 2-phospho-L-lactate guanylyltransferase
TIGR03553;F420_FbiB_CTERM: F420 biosynthesis protein FbiB, C-terminal domain
TIGR03554;F420_G6P_DH: glucose-6-phosphate dehydrogenase (coenzyme-F420)
TIGR03555;F420_mer: 5,10-methylenetetrahydromethanopterin reductase
TIGR03556;photolyase_8HDF: deoxyribodipyrimidine photo-lyase, 8-HDF type
TIGR03557;F420_G6P_family: F420-dependent oxidoreductase, G6PDH family
TIGR03558;oxido_grp_1: luciferase family oxidoreductase, group 1
TIGR03559;F420_Rv3520c: probable F420-dependent oxidoreductase, Rv3520c family
TIGR03560;F420_Rv1855c: probable F420-dependent oxidoreductase, Rv1855c family
TIGR03561;organ_hyd_perox: peroxiredoxin, Ohr subfamily
TIGR03562;osmo_induc_OsmC: peroxiredoxin, OsmC subfamily
TIGR03563;perox_SACOL1771: peroxiredoxin, SACOL1771 subfamily
TIGR03564;F420_MSMEG_4879: F420-dependent oxidoreductase, MSMEG_4879 family
TIGR03565;alk_sulf_monoox: alkanesulfonate monooxygenase, FMNH(2)-dependent
TIGR03566;FMN_reduc_MsuE: FMN reductase
TIGR03567;FMN_reduc_SsuE: FMN reductase
TIGR03568;NeuC_NnaA: UDP-N-acetyl-D-glucosamine 2-epimerase, UDP-hydrolysing
TIGR03569;NeuB_NnaB: N-acetylneuraminate synthase
TIGR03570;NeuD_NnaD: sugar O-acyltransferase, sialic acid O-acetyltransferase NeuD family
TIGR03571;lucif_BA3436: luciferase-type oxidoreductase, BA3436 family
TIGR03572;WbuZ: glycosyl amidation-associated protein WbuZ
TIGR03573;WbuX: N-acetyl sugar amidotransferase
TIGR03574;selen_PSTK: L-seryl-tRNA(Sec) kinase
TIGR03575;selen_PSTK_euk: L-seryl-tRNA(Sec) kinase
TIGR03576;pyridox_MJ0158: pyridoxal phosphate enzyme, MJ0158 family
TIGR03577;EF_0830: conserved hypothetical protein EF_0830/AHA_3911
TIGR03578;EF_0831: conserved hypothetical protein EF_0831/AHA_3912
TIGR03579;EF_0833: conserved hypothetical protein EF_0833/AHA_3914
TIGR03580;EF_0832: conserved hypothetical protein EF_0832/AHA_3913
TIGR03581;EF_0839: conserved hypothetical protein EF_0839/AHA_3917
TIGR03582;EF_0829: PRD domain protein, EF_0829/AHA_3910 family
TIGR03583;EF_0837: putative amidohydrolase, EF_0837/AHA_3915 family
TIGR03584;PseF: pseudaminic acid CMP-transferase
TIGR03585;PseH: pseudaminic acid biosynthesis N-acetyl transferase
TIGR03586;PseI: pseudaminic acid synthase
TIGR03587;Pse_Me-ase: pseudaminic acid biosynthesis-associated methylase
TIGR03588;PseC: UDP-4-keto-6-deoxy-N-acetylglucosamine 4-aminotransferase
TIGR03589;PseB: UDP-N-acetylglucosamine 4,6-dehydratase
TIGR03590;PseG: pseudaminic acid biosynthesis-associated protein PseG
TIGR03591;polynuc_phos: polyribonucleotide nucleotidyltransferase
TIGR03592;yidC_oxa1_cterm: membrane protein insertase, YidC/Oxa1 family
TIGR03593;yidC_nterm: membrane protein insertase, YidC/Oxa1 family, N-terminal domain
TIGR03594;GTPase_EngA: ribosome-associated GTPase EngA
TIGR03595;Obg_CgtA_exten: Obg family GTPase CgtA, C-terminal extension
TIGR03596;GTPase_YlqF: ribosome biogenesis GTP-binding protein YlqF
TIGR03597;GTPase_YqeH: ribosome biogenesis GTPase YqeH
TIGR03598;GTPase_YsxC: ribosome biogenesis GTP-binding protein YsxC
TIGR03599;YloV: DAK2 domain fusion protein YloV
TIGR03600;phage_DnaB: phage replicative helicase, DnaB family
TIGR03601;B_an_ocin: probable heterocycle-containing bacteriocin, BA_2677 family
TIGR03602;streptolysinS: bacteriocin protoxin, streptolysin S family
TIGR03603;cyclo_dehy_ocin: thiazole/oxazole-forming peptide maturase, SagC family component
TIGR03604;TOMM_cyclo_SagD: thiazole/oxazole-forming peptide maturase, SagD family component
TIGR03605;antibiot_sagB: SagB-type dehydrogenase domain
TIGR03606;non_repeat_PQQ: dehydrogenase, PQQ-dependent, s-GDH family
TIGR03607;TIGR03607: patatin-related protein
TIGR03608;L_ocin_972_ABC: putative bacteriocin export ABC transporter, lactococcin 972 group
TIGR03609;S_layer_CsaB: polysaccharide pyruvyl transferase CsaB
TIGR03610;RutC: pyrimidine utilization protein C
TIGR03611;RutD: pyrimidine utilization protein D
TIGR03612;RutA: pyrimidine utilization protein A
TIGR03613;RutR: pyrimidine utilization regulatory protein R
TIGR03614;RutB: pyrimidine utilization protein B
TIGR03615;RutF: pyrimidine utilization flavin reductase protein F
TIGR03616;RutG: pyrimidine utilization transport protein G
TIGR03617;F420_MSMEG_2256: probable F420-dependent oxidoreductase, MSMEG_2256 family
TIGR03618;Rv1155_F420: PPOX class probable F420-dependent enzyme
TIGR03619;F420_Rv2161c: probable F420-dependent oxidoreductase, Rv2161c family
TIGR03620;F420_MSMEG_4141: probable F420-dependent oxidoreductase, MSMEG_4141 family
TIGR03621;F420_MSMEG_2516: probable F420-dependent oxidoreductase, MSMEG_2516 family
TIGR03622;urea_t_UrtB_arc: urea ABC transporter, permease protein UrtB
TIGR03623;TIGR03623: probable DNA repair protein
TIGR03624;TIGR03624: putative hydrolase
TIGR03625;L3_bact: 50S ribosomal protein L3
TIGR03626;L3_arch: archaeal ribosomal protein L3
TIGR03627;arch_S9P: archaeal ribosomal protein S9P
TIGR03628;arch_S11P: archaeal ribosomal protein S11P
TIGR03629;arch_S13P: archaeal ribosomal protein S13P
TIGR03630;arch_S17P: archaeal ribosomal protein S17P
TIGR03631;bact_S13: 30S ribosomal protein S13
TIGR03632;bact_S11: 30S ribosomal protein S11
TIGR03633;arc_protsome_A: proteasome endopeptidase complex, archaeal, alpha subunit
TIGR03634;arc_protsome_B: proteasome endopeptidase complex, archaeal, beta subunit
TIGR03635;S17_bact: 30S ribosomal protein S17
TIGR03636;L23_arch: archaeal ribosomal protein L23
TIGR03637;cas1_YPEST: CRISPR-associated endonuclease Cas1, subtype I-F/YPEST
TIGR03638;cas1_ECOLI: CRISPR-associated endonuclease Cas1, subtype I-E/ECOLI
TIGR03639;cas1_NMENI: CRISPR-associated endonuclease Cas1, subtype II/NMENI
TIGR03640;cas1_DVULG: CRISPR-associated endonuclease Cas1, subtype I-C/DVULG
TIGR03641;cas1_HMARI: CRISPR-associated endonuclease Cas1, subtype I-B/HMARI/TNEAP
TIGR03642;cas_csx14: CRISPR-associated protein, Csx14 family
TIGR03643;TIGR03643: TIGR03643 family protein
TIGR03644;marine_trans_1: probable ammonium transporter, marine subtype
TIGR03645;glyox_marine: lactoylglutathione lyase family protein
TIGR03646;YtoQ_fam: YtoQ family protein
TIGR03647;Na_symport_sm: putative solute:sodium symporter small subunit
TIGR03648;Na_symport_lg: probable sodium:solute symporter, VC_2705 subfamily
TIGR03649;ergot_EASG: ergot alkaloid biosynthesis protein, AFUA_2G17970 family
TIGR03650;violacein_E: violacein biosynthesis enzyme VioE
TIGR03651;circ_ocin_uber: circular bacteriocin, circularin A/uberolysin family
TIGR03652;FeS_repair_RIC: iron-sulfur cluster repair di-iron protein
TIGR03653;arch_L6P: archaeal ribosomal protein L6P
TIGR03654;L6_bact: ribosomal protein L6
TIGR03655;anti_R_Lar: restriction alleviation protein, Lar family
TIGR03656;IsdC: heme uptake protein IsdC
TIGR03657;IsdB: heme uptake protein IsdB
TIGR03658;IsdH_HarA: haptoglobin-binding heme uptake protein HarA
TIGR03659;IsdE: heme ABC transporter, heme-binding protein isdE
TIGR03660;T1SS_rpt_143: T1SS-143 repeat domain
TIGR03661;T1SS_VCA0849: type I secretion C-terminal target domain (VC_A0849 subclass)
TIGR03662;Chlor_Arch_YYY: chlor_Arch_YYY domain
TIGR03663;TIGR03663: TIGR03663 family protein
TIGR03664;fut_nucase: futalosine nucleosidase
TIGR03665;arCOG04150: arCOG04150 universal archaeal KH domain protein
TIGR03666;Rv2061_F420: PPOX class probable F420-dependent enzyme, Rv2061 family
TIGR03667;Rv3369: PPOX class probable F420-dependent enzyme, Rv3369 family
TIGR03668;Rv0121_F420: PPOX class probable F420-dependent enzyme, Rv0121 family
TIGR03669;urea_ABC_arch: urea ABC transporter, substrate-binding protein
TIGR03670;rpoB_arch: DNA-directed RNA polymerase subunit B
TIGR03671;cca_archaeal: CCA-adding enzyme
TIGR03672;rpl4p_arch: 50S ribosomal protein L4P
TIGR03673;rpl14p_arch: 50S ribosomal protein L14P
TIGR03674;fen_arch: flap structure-specific endonuclease
TIGR03675;arCOG00543: arCOG00543 universal archaeal KH-domain/beta-lactamase-domain protein
TIGR03676;aRF1/eRF1: peptide chain release factor 1, archaeal and eukaryotic forms
TIGR03677;rpl7ae: 50S ribosomal protein L7Ae
TIGR03678;het_cyc_patell: bacteriocin leader peptide, microcyclamide/patellamide family
TIGR03679;arCOG00187: arCOG00187 universal archaeal metal-binding-domain/4Fe-4S-binding-domain containing ABC transporter, ATP-binding protein
TIGR03680;eif2g_arch: translation initiation factor 2, gamma subunit
TIGR03682;arCOG04112: diphthamide biosynthesis enzyme Dph2
TIGR03683;A-tRNA_syn_arch: alanine--tRNA ligase
TIGR03684;arCOG00985: arCOG04150 universal archaeal PUA-domain protein
TIGR03685;L12P_arch: 50S ribosomal protein L12P
TIGR03686;pupylate_PafA: proteasome accessory factor PafA
TIGR03687;pupylate_cterm: ubiquitin-like protein Pup
TIGR03688;pupylate_PafA2: proteasome accessory factor PafA2
TIGR03689;pup_AAA: proteasome ATPase
TIGR03690;20S_bact_beta: proteasome, beta subunit
TIGR03691;20S_bact_alpha: proteasome, alpha subunit
TIGR03692;ATP_dep_HslV: ATP-dependent protease HslVU, peptidase subunit
TIGR03693;ocin_ThiF_like: putative thiazole-containing bacteriocin maturation protein
TIGR03694;exosort_acyl: N-acyl amino acid synthase, PEP-CTERM/exosortase system-associated
TIGR03695;menH_SHCHC: 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
TIGR03696;Rhs_assc_core: RHS repeat-associated core domain
TIGR03697;NtcA_cyano: global nitrogen regulator NtcA
TIGR03698;clan_AA_DTGF: clan AA aspartic protease, AF_0612 family
TIGR03699;mena_SCO4550: menaquinone biosynthesis protein, SCO4550 family
TIGR03700;mena_SCO4494: putative menaquinone biosynthesis protein, SCO4494 family
TIGR03701;mena_SCO4490: menaquinone biosynthesis decarboxylase, SCO4490 family
TIGR03702;lip_kinase_YegS: lipid kinase YegS
TIGR03703;plsB: glycerol-3-phosphate O-acyltransferase
TIGR03704;PrmC_rel_meth: putative protein-(glutamine-N5) methyltransferase, unknown substrate-specific
TIGR03705;poly_P_kin: polyphosphate kinase 1
TIGR03706;exo_poly_only: exopolyphosphatase
TIGR03707;PPK2_P_aer: polyphosphate kinase 2
TIGR03708;poly_P_AMP_trns: polyphosphate:AMP phosphotransferase
TIGR03709;PPK2_rel_1: polyphosphate:nucleotide phosphotransferase, PPK2 family
TIGR03710;OAFO_sf: 2-oxoacid:acceptor oxidoreductase, alpha subunit
TIGR03711;acc_sec_asp3: accessory Sec system protein Asp3
TIGR03712;acc_sec_asp2: accessory Sec system protein Asp2
TIGR03713;acc_sec_asp1: accessory Sec system protein Asp1
TIGR03714;secA2: accessory Sec system translocase SecA2
TIGR03715;KxYKxGKxW: KxYKxGKxW signal peptide
TIGR03716;R_switched_YkoY: integral membrane protein, YkoY family
TIGR03717;R_switched_YjbE: integral membrane protein, YjbE family
TIGR03718;R_switched_Alx: integral membrane protein, TerC family
TIGR03719;ABC_ABC_ChvD: ATP-binding cassette protein, ChvD family
TIGR03720;exospor_lead: exosporium leader peptide
TIGR03721;exospore_TM: BclB C-terminal domain
TIGR03722;arch_KAE1: universal archaeal protein Kae1
TIGR03723;T6A_YgjD: tRNA threonylcarbamoyl adenosine modification protein YgjD
TIGR03724;arch_bud32: Kae1-associated kinase Bud32
TIGR03725;T6A_YeaZ: tRNA threonylcarbamoyl adenosine modification protein YeaZ
TIGR03726;strep_RK_lipo: putative cross-wall-targeting lipoprotein signal
TIGR03727;urea_t_UrtC_arc: urea ABC transporter, permease protein UrtC
TIGR03728;glyco_access_1: glycosyltransferase, SP_1767 family
TIGR03729;acc_ester: putative phosphoesterase
TIGR03730;tungstate_WtpA: tungstate ABC transporter binding protein WtpA
TIGR03731;lantibio_gallid: lantibiotic, gallidermin/nisin family
TIGR03732;lanti_perm_MutE: lantibiotic protection ABC transporter permease subunit, MutE/EpiE family
TIGR03733;lanti_perm_MutG: lantibiotic protection ABC transporter permease subunit, MutG family
TIGR03734;PRTRC_parB: PRTRC system ParB family protein
TIGR03735;PRTRC_A: PRTRC system protein A
TIGR03736;PRTRC_ThiF: PRTRC system ThiF family protein
TIGR03737;PRTRC_B: PRTRC system protein B
TIGR03738;PRTRC_C: PRTRC system protein C
TIGR03739;PRTRC_D: PRTRC system protein D
TIGR03740;galliderm_ABC: lantibiotic protection ABC transporter, ATP-binding subunit
TIGR03741;PRTRC_E: PRTRC system protein E
TIGR03742;PRTRC_F: PRTRC system protein F
TIGR03743;SXT_TraD: conjugative coupling factor TraD, SXT/TOL subfamily
TIGR03744;traC_PFL_4706: conjugative transfer ATPase, PFL_4706 family
TIGR03745;conj_TIGR03745: integrating conjugative element membrane protein, PFL_4702 family
TIGR03746;conj_TIGR03746: integrating conjugative element protein, PFL_4703 family
TIGR03747;conj_TIGR03747: integrating conjugative element membrane protein, PFL_4697 family
TIGR03748;conj_PilL: integrating conjugative element protein PilL, PFGI-1 class
TIGR03749;conj_TIGR03749: integrating conjugative element protein, PFL_4704 family
TIGR03750;conj_TIGR03750: conjugative transfer region protein, TIGR03750 family
TIGR03751;conj_TIGR03751: conjugative transfer region lipoprotein, TIGR03751 family
TIGR03752;conj_TIGR03752: integrating conjugative element protein, PFL_4705 family
TIGR03753;blh_monoox: beta-carotene 15,15'-monooxygenase, Brp/Blh family
TIGR03754;conj_TOL_TraD: conjugative coupling factor TraD, PFGI-1 class
TIGR03755;conj_TIGR03755: integrating conjugative element protein, PFL_4711 family
TIGR03756;conj_TIGR03756: integrating conjugative element protein, PFL_4710 family
TIGR03757;conj_TIGR03757: integrating conjugative element protein, PFL_4709 family
TIGR03758;conj_TIGR03758: integrating conjugative element protein, PFL_4701 family
TIGR03759;conj_TIGR03759: integrating conjugative element protein, PFL_4693 family
TIGR03760;ICE_TraI_Pfluor: integrating conjugative element relaxase, PFGI-1 class
TIGR03761;ICE_PFL4669: integrating conjugative element protein, PFL_4669 family
TIGR03762;archaeo_artC: archaeosortase C
TIGR03763;cyanoexo_CrtA: cyanoexosortase A
TIGR03764;ICE_PFGI_1_parB: integrating conjugative element, PFGI_1 class, ParB family protein
TIGR03765;ICE_PFL_4695: integrating conjugative element protein, PFL_4695 family
TIGR03766;TIGR03766: conserved hypothetical integral membrane protein
TIGR03767;P_acnes_RR: metallophosphoesterase, PPA1498 family
TIGR03768;RPA4764: metallophosphoesterase, RPA4764 family
TIGR03769;P_ac_wall_RPT: actinobacterial surface-anchored protein domain
TIGR03770;anch_rpt_perm: anchored repeat-type ABC transporter, permease subunit
TIGR03771;anch_rpt_ABC: anchored repeat-type ABC transporter, ATP-binding subunit
TIGR03772;anch_rpt_subst: anchored repeat ABC transporter, substrate-binding protein
TIGR03773;anch_rpt_wall: putative ABC transporter-associated repeat protein
TIGR03774;RPE2: rickettsial palindromic element RPE2 domain
TIGR03775;RPE3: rickettsial palindromic element RPE3 domain
TIGR03776;RPE5: rickettsial palindromic element RPE5 domain
TIGR03777;RPE4: rickettsial palindromic element RPE4 domain
TIGR03778;VPDSG_CTERM: VPDSG-CTERM protein sorting domain
TIGR03779;Bac_Flav_CT_M: Bacteroides conjugative transposon TraM protein
TIGR03780;Bac_Flav_CT_N: Bacteroides conjugative transposon TraN protein
TIGR03781;Bac_Flav_CT_K: Bacteroides conjugative transposon TraK protein
TIGR03782;Bac_Flav_CT_J: Bacteroides conjugative transposon TraJ protein
TIGR03783;Bac_Flav_CT_G: Bacteroides conjugation system ATPase, TraG family
TIGR03784;marine_sortase: sortase, marine proteobacterial type
TIGR03785;marine_sort_HK: proteobacterial dedicated sortase system histidine kinase
TIGR03786;strep_pil_rpt: streptococcal pilin isopeptide linkage domain
TIGR03787;marine_sort_RR: proteobacterial dedicated sortase system response regulator
TIGR03788;marine_srt_targ: marine proteobacterial sortase target protein
TIGR03789;pdsO: proteobacterial sortase system OmpA family protein
TIGR03790;TIGR03790: TIGR03790 family protein
TIGR03791;TTQ_mauG: tryptophan tryptophylquinone biosynthesis enzyme MauG
TIGR03792;TIGR03792: uncharacterized cyanobacterial protein, TIGR03792 family
TIGR03793;TOMM_pelo: NHLP leader peptide domain
TIGR03794;NHLM_micro_HlyD: NHLM bacteriocin system secretion protein
TIGR03795;RNP_Burkhold: ribosomal natural product, two-chain TOMM family
TIGR03796;NHLM_micro_ABC1: NHLM bacteriocin system ABC transporter, peptidase/ATP-binding protein
TIGR03797;NHLM_micro_ABC2: NHLM bacteriocin system ABC transporter, ATP-binding protein
TIGR03798;ocin_TIGR03798: nif11-like leader peptide domain
TIGR03799;NOD_PanD_pyr: putative pyridoxal-dependent aspartate 1-decarboxylase
TIGR03800;PLP_synth_Pdx2: pyridoxal 5'-phosphate synthase, glutaminase subunit Pdx2
TIGR03801;asp_4_decarbox: aspartate 4-decarboxylase
TIGR03802;Asp_Ala_antiprt: aspartate-alanine antiporter
TIGR03803;Gloeo_Verruco: gloeo_Verruco repeat
TIGR03804;para_beta_helix: parallel beta-helix repeat
TIGR03805;beta_helix_1: parallel beta-helix repeat-containing protein
TIGR03806;chp_HNE_0200: conserved hypothetical protein, HNE_0200 family
TIGR03807;RR_fam_repeat: putative cofactor-binding repeat
TIGR03808;RR_plus_rpt_1: twin-arg-translocated uncharacterized repeat protein
TIGR03809;TIGR03809: TIGR03809 family protein
TIGR03810;arg_ornith_anti: arginine-ornithine antiporter
TIGR03811;tyr_de_CO2_Ent: tyrosine decarboxylase
TIGR03812;tyr_de_CO2_Arch: tyrosine decarboxylase MnfA
TIGR03813;put_Glu_GABA_T: putative glutamate/gamma-aminobutyrate antiporter
TIGR03814;Gln_ase: glutaminase A
TIGR03815;CpaE_hom_Actino: helicase/secretion neighborhood CpaE-like protein
TIGR03816;tadE_like_DECH: helicase/secretion neighborhood TadE-like protein
TIGR03817;DECH_helic: helicase/secretion neighborhood putative DEAH-box helicase
TIGR03818;MotA1: flagellar motor stator protein MotA
TIGR03819;heli_sec_ATPase: helicase/secretion neighborhood ATPase
TIGR03820;lys_2_3_AblA: lysine-2,3-aminomutase
TIGR03821;AblA_like_1: lysine-2,3-aminomutase-like protein
TIGR03822;AblA_like_2: lysine-2,3-aminomutase-related protein
TIGR03823;FliZ: flagellar regulatory protein FliZ
TIGR03824;FlgM_jcvi: flagellar biosynthesis anti-sigma factor FlgM
TIGR03825;FliH_bacil: flagellar assembly protein FliH
TIGR03826;YvyF: flagellar operon protein TIGR03826
TIGR03827;GNAT_ablB: putative beta-lysine N-acetyltransferase
TIGR03828;pfkB: 1-phosphofructokinase
TIGR03829;YokU_near_AblA: uncharacterized protein, YokU family
TIGR03830;CxxCG_CxxCG_HTH: putative zinc finger/helix-turn-helix protein, YgiT family
TIGR03831;YgiT_finger: YgiT-type zinc finger domain
TIGR03832;Tyr_2_3_mutase: tyrosine 2,3-aminomutase
TIGR03833;TIGR03833: conserved hypothetical protein
TIGR03834;EAGR_box: EAGR box
TIGR03835;termin_org_DnaJ: terminal organelle assembly protein TopJ
TIGR03836;termin_org_HMW1: cytadherence high molecular weight protein 1 N-terminal region
TIGR03837;efp_adjacent_2: conserved hypothetical protein, PP_1857 family
TIGR03838;queuosine_YadB: glutamyl-queuosine tRNA(Asp) synthetase
TIGR03839;termin_org_P1: adhesin P1
TIGR03840;TMPT_Se_Te: thiopurine S-methyltransferase, Se/Te detoxification family
TIGR03841;F420_Rv3093c: probable F420-dependent oxidoreductase, Rv3093c family
TIGR03842;F420_CPS_4043: F420-dependent oxidoreductase, CPS_4043 family
TIGR03843;TIGR03843: conserved hypothetical protein
TIGR03844;cysteate_syn: cysteate synthase
TIGR03845;sulfopyru_alph: sulfopyruvate decarboxylase, alpha subunit
TIGR03846;sulfopy_beta: sulfopyruvate decarboxylase, beta subunit
TIGR03847;TIGR03847: conserved hypothetical protein
TIGR03848;MSMEG_4193: probable phosphomutase, MSMEG_4193 family
TIGR03849;arch_ComA: phosphosulfolactate synthase
TIGR03850;bind_CPR_0540: carbohydrate ABC transporter substrate-binding protein, CPR_0540 family
TIGR03851;chitin_NgcE: carbohydrate ABC transporter, N-acetylglucosamine/diacetylchitobiose-binding protein
TIGR03852;sucrose_gtfA: sucrose phosphorylase
TIGR03853;matur_matur: putative metal-binding protein
TIGR03854;F420_MSMEG_3544: probable F420-dependent oxidoreductase, MSMEG_3544 family
TIGR03855;NAD_NadX: aspartate dehydrogenase
TIGR03856;F420_MSMEG_2906: probable F420-dependent oxidoreductase, MSMEG_2906 family
TIGR03857;F420_MSMEG_2249: probable F420-dependent oxidoreductase, MSMEG_2249 family
TIGR03858;LLM_2I7G: probable oxidoreductase, LLM family
TIGR03859;PQQ_PqqD: coenzyme PQQ biosynthesis protein PqqD
TIGR03860;FMN_nitrolo: FMN-dependent oxidoreductase, nitrilotriacetate monooxygenase family
TIGR03861;phenyl_ABC_PedC: alcohol ABC transporter, permease protein
TIGR03862;flavo_PP4765: flavoprotein, TIGR03862 family
TIGR03863;PQQ_ABC_bind: ABC transporter, substrate binding protein, PQQ-dependent alcohol dehydrogenase system
TIGR03864;PQQ_ABC_ATP: ABC transporter, ATP-binding subunit, PQQ-dependent alcohol dehydrogenase system
TIGR03865;PQQ_CXXCW: PQQ-dependent catabolism-associated CXXCW motif protein
TIGR03866;PQQ_ABC_repeats: PQQ-dependent catabolism-associated beta-propeller protein
TIGR03867;MprA_tail: MprA protease C-terminal rhombosortase-interaction domain
TIGR03868;F420-O_ABCperi: proposed F420-0 ABC transporter, periplasmic F420-0 binding protein
TIGR03869;F420-0_ABCperm: proposed F420-0 ABC transporter, permease protein
TIGR03870;ABC_MoxJ: methanol oxidation system protein MoxJ
TIGR03871;ABC_peri_MoxJ_2: quinoprotein dehydrogenase-associated probable ABC transporter substrate-binding protein
TIGR03872;cytochrome_MoxG: cytochrome c(L), periplasmic
TIGR03873;F420-0_ABC_ATP: proposed F420-0 ABC transporter, ATP-binding protein
TIGR03874;4cys_cytochr: c-type cytochrome, methanol metabolism-related
TIGR03875;RNA_lig_partner: RNA ligase partner, MJ_0950 family
TIGR03876;cas_csaX: CRISPR type I-A/APERN-associated protein CsaX
TIGR03877;thermo_KaiC_1: KaiC domain protein, Ph0284 family
TIGR03878;thermo_KaiC_2: KaiC domain protein, AF_0795 family
TIGR03879;near_KaiC_dom: probable regulatory domain
TIGR03880;KaiC_arch_3: KaiC domain protein, AF_0351 family
TIGR03881;KaiC_arch_4: KaiC domain protein, PAE1156 family
TIGR03882;cyclo_dehyd_2: bacteriocin biosynthesis cyclodehydratase domain
TIGR03883;DUF2342_F420: uncharacterized protein, coenzyme F420 biosynthesis associated
TIGR03884;sel_bind_Methan: selenium-binding protein
TIGR03885;flavin_revert: probable non-F420 flavinoid oxidoreductase
TIGR03886;lyase_spl_fam: spore photoproduct lyase family protein
TIGR03887;thiocyan_alph: thiocyanate hydrolase, gamma subunit
TIGR03888;nitrile_beta: nitrile hydratase, beta subunit
TIGR03889;nitrile_acc: nitrile hydratase accessory protein
TIGR03890;nif11_cupin: nif11 domain/cupin domain protein
TIGR03891;thiopep_ocin: thiopeptide-type bacteriocin biosynthesis domain
TIGR03892;thiopep_precurs: thiazolylpeptide-type bacteriocin precursor
TIGR03893;lant_SP_1948: type 2 lantibiotic, SP_1948 family
TIGR03894;chp_P_marinus_1: conserved hypothetical protein, TIGR03894 family
TIGR03895;protease_PatA: cyanobactin maturation protease, PatA/PatG family
TIGR03896;cyc_nuc_ocin: bacteriocin-type transport-associated protein
TIGR03897;lanti_2_LanM: type 2 lantibiotic biosynthesis protein LanM
TIGR03898;lanti_MRSA_kill: type 2 lantibiotic, mersacidin/lichenicidin family
TIGR03899;TIGR03899: TIGR03899 family protein
